"Statistic","CensusYear","Alphabetical List of Towns","UNIT","VALUE"
"Birthplace - Outside Ireland (Number)","2016","Oranmore, Galway","Number","1304"
"Birthplace - Outside Ireland (Number)","2016","Oughterard, Galway","Number","300"
"Birthplace - Outside Ireland (Number)","2016","Oulart, Wexford","Number","36"
"Birthplace - Outside Ireland (Number)","2016","Palatine, Carlow","Number","33"
"Birthplace - Outside Ireland (Number)","2016","Pallas Grean, Limerick","Number","51"
"Birthplace - Outside Ireland (Number)","2016","Pallaskenry, Limerick","Number","43"
"Birthplace - Outside Ireland (Number)","2016","Passage East, Waterford","Number","117"
"Birthplace - Outside Ireland (Number)","2016","Passage West, Cork","Number","1013"
"Birthplace - Outside Ireland (Number)","2016","Patrickswell, Limerick","Number","92"
"Birthplace - Outside Ireland (Number)","2016","Paulstown, Kilkenny","Number","122"
"Birthplace - Outside Ireland (Number)","2016","Pettigo (pt.) (a), Donegal","Number","75"
"Birthplace - Outside Ireland (Number)","2016","Piercetown, Wexford","Number","67"
"Birthplace - Outside Ireland (Number)","2016","Piltown, Kilkenny","Number","174"
"Birthplace - Outside Ireland (Number)","2016","Pollagh, Offaly","Number","10"
"Birthplace - Outside Ireland (Number)","2016","Portarlington, Laois and Offaly","Number","1440"
"Birthplace - Outside Ireland (Number)","2016","Portlaoise (Maryborough), Laois","Number","5627"
"Birthplace - Outside Ireland (Number)","2016","Portlaw, Waterford","Number","169"
"Birthplace - Outside Ireland (Number)","2016","Portmagee, Kerry","Number","26"
"Birthplace - Outside Ireland (Number)","2016","Portmarnock, Fingal","Number","1443"
"Birthplace - Outside Ireland (Number)","2016","Portrane, Fingal","Number","122"
"Birthplace - Outside Ireland (Number)","2016","Portroe, North Tipperary","Number","73"
"Birthplace - Outside Ireland (Number)","2016","Portumna, Galway","Number","333"
"Birthplace - Outside Ireland (Number)","2016","Prosperous, Kildare","Number","304"
"Birthplace - Outside Ireland (Number)","2016","Puckaun, North Tipperary","Number","35"
"Birthplace - Outside Ireland (Number)","2016","Quigleys Point, Donegal","Number","88"
"Birthplace - Outside Ireland (Number)","2016","Quilty, Clare","Number","31"
"Birthplace - Outside Ireland (Number)","2016","Quin, Clare","Number","173"
"Birthplace - Outside Ireland (Number)","2016","Raharney, Westmeath","Number","19"
"Birthplace - Outside Ireland (Number)","2016","Ramelton, Donegal","Number","230"
"Birthplace - Outside Ireland (Number)","2016","Rann na Feirste, Donegal","Number","80"
"Birthplace - Outside Ireland (Number)","2016","Raphoe, Donegal","Number","127"
"Birthplace - Outside Ireland (Number)","2016","Rathangan, Kildare","Number","282"
"Birthplace - Outside Ireland (Number)","2016","Rathard-Aherla, Cork","Number","50"
"Birthplace - Outside Ireland (Number)","2016","Rathcoffey, Kildare","Number","33"
"Birthplace - Outside Ireland (Number)","2016","Rathcoole, South Dublin","Number","788"
"Birthplace - Outside Ireland (Number)","2016","Rathcoole, Cork","Number","61"
"Birthplace - Outside Ireland (Number)","2016","Rathcormac, Cork","Number","318"
"Birthplace - Outside Ireland (Number)","2016","Rathdowney, Laois","Number","173"
"Birthplace - Outside Ireland (Number)","2016","Rathdrum, Wicklow","Number","182"
"Birthplace - Outside Ireland (Number)","2016","Rathkeale, Limerick","Number","186"
"Birthplace - Outside Ireland (Number)","2016","Rathluirc (Charleville), Cork and Limerick","Number","1040"
"Birthplace - Outside Ireland (Number)","2016","Rathmolyon, Meath","Number","22"
"Birthplace - Outside Ireland (Number)","2016","Rathmore, Kerry","Number","224"
"Birthplace - Outside Ireland (Number)","2016","Rathmullen, Donegal","Number","120"
"Birthplace - Outside Ireland (Number)","2016","Rathnew, Wicklow","Number","404"
"Birthplace - Outside Ireland (Number)","2016","Rathtoe, Carlow","Number","29"
"Birthplace - Outside Ireland (Number)","2016","Rathowen, Westmeath","Number","22"
"Birthplace - Outside Ireland (Number)","2016","Rathvilly, Carlow","Number","84"
"Birthplace - Outside Ireland (Number)","2016","Ratoath, Meath","Number","1350"
"Birthplace - Outside Ireland (Number)","2016","Reardnogy, North Tipperary","Number","4"
"Birthplace - Outside Ireland (Number)","2016","Redcross, Wicklow","Number","50"
"Birthplace - Outside Ireland (Number)","2016","Rhode, Offaly","Number","86"
"Birthplace - Outside Ireland (Number)","2016","Ringaskiddy-Loughbeg, Cork","Number","122"
"Birthplace - Outside Ireland (Number)","2016","Rivermeade, Fingal","Number","31"
"Birthplace - Outside Ireland (Number)","2016","Riverstick, Cork","Number","117"
"Birthplace - Outside Ireland (Number)","2016","Riverstown, Sligo","Number","43"
"Birthplace - Outside Ireland (Number)","2016","Robertstown, Kildare","Number","74"
"Birthplace - Outside Ireland (Number)","2016","Rochfortbridge, Westmeath","Number","141"
"Birthplace - Outside Ireland (Number)","2016","Rockcorry, Monaghan","Number","39"
"Birthplace - Outside Ireland (Number)","2016","Roosky, Leitrim and Roscommon","Number","149"
"Birthplace - Outside Ireland (Number)","2016","Roscommon, Roscommon","Number","1640"
"Birthplace - Outside Ireland (Number)","2016","Roscrea, North Tipperary","Number","1069"
"Birthplace - Outside Ireland (Number)","2016","Rosegreen, South Tipperary","Number","28"
"Birthplace - Outside Ireland (Number)","2016","Rosscahill, Galway","Number","47"
"Birthplace - Outside Ireland (Number)","2016","Rosscarbery, Cork","Number","97"
"Birthplace - Outside Ireland (Number)","2016","Rosses Point, Sligo","Number","138"
"Birthplace - Outside Ireland (Number)","2016","Rosslare, Wexford","Number","319"
"Birthplace - Outside Ireland (Number)","2016","Roundstone, Galway","Number","42"
"Birthplace - Outside Ireland (Number)","2016","Roundwood, Wicklow","Number","121"
"Birthplace - Outside Ireland (Number)","2016","Rush, Fingal","Number","1838"
"Birthplace - Outside Ireland (Number)","2016","Saggart, South Dublin","Number","1133"
"Birthplace - Outside Ireland (Number)","2016","St. Johnston, Donegal","Number","103"
"Birthplace - Outside Ireland (Number)","2016","Saleen, Cork","Number","52"
"Birthplace - Outside Ireland (Number)","2016","Sallins, Kildare","Number","1370"
"Birthplace - Outside Ireland (Number)","2016","Scarriff-Tuamgraney, Clare","Number","138"
"Birthplace - Outside Ireland (Number)","2016","Schull, Cork","Number","223"
"Birthplace - Outside Ireland (Number)","2016","Scotshouse, Monaghan","Number","50"
"Birthplace - Outside Ireland (Number)","2016","Scotstown, Monaghan","Number","59"
"Birthplace - Outside Ireland (Number)","2016","Shanagarry, Cork","Number","120"
"Birthplace - Outside Ireland (Number)","2016","Shanagolden, Limerick","Number","21"
"Birthplace - Outside Ireland (Number)","2016","Shanbally, Cork","Number","39"
"Birthplace - Outside Ireland (Number)","2016","Shanballymore, Cork","Number","17"
"Birthplace - Outside Ireland (Number)","2016","Shannon, Clare","Number","2889"
"Birthplace - Outside Ireland (Number)","2016","Shannonbridge, Offaly","Number","15"
"Birthplace - Outside Ireland (Number)","2016","Shercock, Cavan","Number","200"
"Birthplace - Outside Ireland (Number)","2016","Shillelagh, Wicklow","Number","32"
"Birthplace - Outside Ireland (Number)","2016","Shinrone, Offaly","Number","59"
"Birthplace - Outside Ireland (Number)","2016","Shrule, Mayo","Number","66"
"Birthplace - Outside Ireland (Number)","2016","Silvermines, North Tipperary","Number","26"
"Birthplace - Outside Ireland (Number)","2016","Sixmilebridge, Clare","Number","454"
"Birthplace - Outside Ireland (Number)","2016","Skerries, Fingal","Number","1427"
"Birthplace - Outside Ireland (Number)","2016","Skibbereen, Cork","Number","754"
"Birthplace - Outside Ireland (Number)","2016","Slane, Meath","Number","201"
"Birthplace - Outside Ireland (Number)","2016","Slieverue, Kilkenny","Number","32"
"Birthplace - Outside Ireland (Number)","2016","Sligo, Sligo","Number","4489"
"Birthplace - Outside Ireland (Number)","2016","Smithborough, Monaghan","Number","98"
"Birthplace - Outside Ireland (Number)","2016","Sneem, Kerry","Number","88"
"Birthplace - Outside Ireland (Number)","2016","Spa, Kerry","Number","46"
"Birthplace - Outside Ireland (Number)","2016","Stamullen, Meath","Number","443"
"Birthplace - Outside Ireland (Number)","2016","Stradbally, Laois","Number","114"
"Birthplace - Outside Ireland (Number)","2016","Stradbally, Waterford","Number","48"
"Birthplace - Outside Ireland (Number)","2016","Straffan, Kildare","Number","103"
"Birthplace - Outside Ireland (Number)","2016","Stratford, Wicklow","Number","25"
"Birthplace - Outside Ireland (Number)","2016","Strandhill, Sligo","Number","320"
"Birthplace - Outside Ireland (Number)","2016","Strokestown, Roscommon","Number","137"
"Birthplace - Outside Ireland (Number)","2016","Summerhill, Meath","Number","131"
"Birthplace - Outside Ireland (Number)","2016","Suncroft, Kildare","Number","49"
"Birthplace - Outside Ireland (Number)","2016","Swanlinbar, Cavan","Number","72"
"Birthplace - Outside Ireland (Number)","2016","Swinford, Mayo","Number","215"
"Birthplace - Outside Ireland (Number)","2016","Swords, Fingal","Number","9612"
"Birthplace - Outside Ireland (Number)","2016","Taghmon, Wexford","Number","48"
"Birthplace - Outside Ireland (Number)","2016","Tallanstown, Louth","Number","51"
"Birthplace - Outside Ireland (Number)","2016","Tallow, Waterford","Number","161"
"Birthplace - Outside Ireland (Number)","2016","Tarbert, Kerry","Number","78"
"Birthplace - Outside Ireland (Number)","2016","Templemore, North Tipperary","Number","224"
"Birthplace - Outside Ireland (Number)","2016","Templetuohy, North Tipperary","Number","20"
"Birthplace - Outside Ireland (Number)","2016","Termonbarry, Co Roscommon","Number","94"
"Birthplace - Outside Ireland (Number)","2016","Termonfeckin, Louth","Number","222"
"Birthplace - Outside Ireland (Number)","2016","The Ballagh, Wexford","Number","52"
"Birthplace - Outside Ireland (Number)","2016","The Commons, South Tipperary","Number","9"
"Birthplace - Outside Ireland (Number)","2016","The Swan, Laois","Number","25"
"Birthplace - Outside Ireland (Number)","2016","Thomastown, Kilkenny","Number","396"
"Birthplace - Outside Ireland (Number)","2016","Thurles, Tipperary","Number","1164"
"Birthplace - Outside Ireland (Number)","2016","Tievebane, Donegal","Number","102"
"Birthplace - Outside Ireland (Number)","2016","Timoleague, Cork","Number","122"
"Birthplace - Outside Ireland (Number)","2016","Tinahely, Wicklow","Number","114"
"Birthplace - Outside Ireland (Number)","2016","Tinriland, Carlow","Number","26"
"Birthplace - Outside Ireland (Number)","2016","Tinure, Louth","Number","34"
"Birthplace - Outside Ireland (Number)","2016","Tipperary, Tipperary","Number","973"
"Birthplace - Outside Ireland (Number)","2016","Toomevara, North Tipperary","Number","29"
"Birthplace - Outside Ireland (Number)","2016","Toornafulla, Limerick","Number","20"
"Birthplace - Outside Ireland (Number)","2016","Tower, Cork","Number","436"
"Birthplace - Outside Ireland (Number)","2016","Tralee, Kerry","Number","5694"
"Birthplace - Outside Ireland (Number)","2016","Tramore, Waterford","Number","1651"
"Birthplace - Outside Ireland (Number)","2016","Trim, Meath","Number","1781"
"Birthplace - Outside Ireland (Number)","2016","Tuam, Galway","Number","2169"
"Birthplace - Outside Ireland (Number)","2016","Tubbercurry, Sligo","Number","438"
"Birthplace - Outside Ireland (Number)","2016","Tulla, Clare","Number","113"
"Birthplace - Outside Ireland (Number)","2016","Tullaghan, Leitrim","Number","72"
"Birthplace - Outside Ireland (Number)","2016","Tullamore, Offaly","Number","3174"
"Birthplace - Outside Ireland (Number)","2016","Tullow, Carlow","Number","1044"
"Birthplace - Outside Ireland (Number)","2016","Tullyallen, Louth","Number","198"
"Birthplace - Outside Ireland (Number)","2016","Tulsk, Roscommon","Number","35"
"Birthplace - Outside Ireland (Number)","2016","Turlough, Mayo","Number","31"
"Birthplace - Outside Ireland (Number)","2016","Turloughmore, Galway","Number","33"
"Birthplace - Outside Ireland (Number)","2016","Twomileborris, North Tipperary","Number","47"
"Birthplace - Outside Ireland (Number)","2016","Tyrrellspass, Westmeath","Number","55"
"Birthplace - Outside Ireland (Number)","2016","Unionhall, Cork","Number","58"
"Birthplace - Outside Ireland (Number)","2016","Urlingford, Kilkenny","Number","196"
"Birthplace - Outside Ireland (Number)","2016","Villierstown, Waterford","Number","43"
"Birthplace - Outside Ireland (Number)","2016","Virginia, Cavan","Number","586"
"Birthplace - Outside Ireland (Number)","2016","Walsh Island (Coolagary), Offaly","Number","34"
"Birthplace - Outside Ireland (Number)","2016","Waterford city and suburbs, Waterford","Number","10523"
"Birthplace - Outside Ireland (Number)","2016","Watergrasshill, Cork","Number","123"
"Birthplace - Outside Ireland (Number)","2016","Waterville-Spunkane, Kerry","Number","77"
"Birthplace - Outside Ireland (Number)","2016","Westport, Mayo","Number","1713"
"Birthplace - Outside Ireland (Number)","2016","Wexford, Wexford","Number","3451"
"Birthplace - Outside Ireland (Number)","2016","Whitechurch, Cork","Number","34"
"Birthplace - Outside Ireland (Number)","2016","Whitegate, Cork","Number","170"
"Birthplace - Outside Ireland (Number)","2016","Whitegate, Clare","Number","25"
"Birthplace - Outside Ireland (Number)","2016","Wicklow, Wicklow","Number","1703"
"Birthplace - Outside Ireland (Number)","2016","Williamstown, Galway","Number","26"
"Birthplace - Outside Ireland (Number)","2016","Woodford, Galway","Number","33"
"Birthplace - Outside Ireland (Number)","2016","Youghal, Cork","Number","1384"
"Birthplace - Outside Ireland (Number)","2016","Towns of all sizes","Number","702067"
"Birthplace - Dublin (%)","2016","Abbeydorney, Kerry","%","4.5"
"Birthplace - Dublin (%)","2016","Abbeyfeale, Limerick","%","1.1"
"Birthplace - Dublin (%)","2016","Abbeyknockmoy, Galway","%","4.2"
"Birthplace - Dublin (%)","2016","Abbeyleix, Laois","%","11.2"
"Birthplace - Dublin (%)","2016","Adamstown, Wexford","%","3.1"
"Birthplace - Dublin (%)","2016","Adare, Limerick","%","2.9"
"Birthplace - Dublin (%)","2016","Aghada-Farsid-Rostellan, Cork","%","4.1"
"Birthplace - Dublin (%)","2016","Aglish, Waterford","%","3.3"
"Birthplace - Dublin (%)","2016","Ahascragh, Galway","%","3.6"
"Birthplace - Dublin (%)","2016","Ailt an Chorráin, Donegal","%","2.6"
"Birthplace - Dublin (%)","2016","Allenwood, Kildare","%","31.2"
"Birthplace - Dublin (%)","2016","Anagaire, Donegal","%","0.4"
"Birthplace - Dublin (%)","2016","An Bun Beag-Doirí Beaga, Donegal","%","1.8"
"Birthplace - Dublin (%)","2016","An Charraig, Donegal","%","4.9"
"Birthplace - Dublin (%)","2016","An Cheathrú Rua, Galway","%","1.9"
"Birthplace - Dublin (%)","2016","An Clochán Liath, Donegal","%","2.6"
"Birthplace - Dublin (%)","2016","An Daingean, Kerry","%","5.7"
"Birthplace - Dublin (%)","2016","An Fál Carrach, Donegal","%","3"
"Birthplace - Dublin (%)","2016","Annacotty, Limerick","%","4.8"
"Birthplace - Dublin (%)","2016","Annagassan, Louth","%","9"
"Birthplace - Dublin (%)","2016","Annaghdown, Galway","%","2.5"
"Birthplace - Dublin (%)","2016","Annascaul, Kerry","%","4.7"
"Birthplace - Dublin (%)","2016","Annayalla, Monaghan","%","2.2"
"Birthplace - Dublin (%)","2016","An Rinn, Waterford","%","3.4"
"Birthplace - Dublin (%)","2016","An Spidéal, Galway","%","9.7"
"Birthplace - Dublin (%)","2016","Ardagh, Limerick","%","0.4"
